=== DICCIONARIO DE DATOS COMPLETO — PLATAFORMA ZINCO (102 CAMPOS CONFIGURADOS) ===

CAMPO                               | ENTIDAD              | TIPO               | CARD    | HABEAS        | DESCRIPCIÓN
------------------------------------------------------------------------------------------------------------------------
body                                | block_content        | text_with_summary  | Card: 1  | HabeasData: NO  | Campo body para entidad block_content
comment_body                        | comment              | text_long          | Card: 1  | HabeasData: NO  | Campo comment_body para entidad comment
body                                | node                 | text_with_summary  | Card: 1  | HabeasData: NO  | Campo body para entidad node
comment                             | node                 | comment            | Card: 1  | HabeasData: NO  | Campo comment para entidad node
field_agenda_evento                 | node                 | text_with_summary  | Card: 1  | HabeasData: NO  | Campo field_agenda_evento para entidad node
field_anexos                        | node                 | file               | Card: 5  | HabeasData: NO  | Campo field_anexos para entidad node
field_archivo_principal             | node                 | file               | Card: 1  | HabeasData: NO  | Campo field_archivo_principal para entidad node
field_archivos_adjuntos             | node                 | file               | Card: 5  | HabeasData: NO  | Campo field_archivos_adjuntos para entidad node
field_categoria                     | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_categoria para entidad node
field_contenido_noticia             | node                 | text_with_summary  | Card: 1  | HabeasData: NO  | Campo field_contenido_noticia para entidad node
field_costo                         | node                 | string             | Card: 1  | HabeasData: NO  | Campo field_costo para entidad node
field_descripcion_detallada         | node                 | text               | Card: 1  | HabeasData: NO  | Campo field_descripcion_detallada para entidad node
field_duracion_horas                | node                 | integer            | Card: 1  | HabeasData: NO  | Campo field_duracion_horas para entidad node
field_estado_de_la_necesidad        | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_estado_de_la_necesidad para entidad node
field_fecha_de_apertura             | node                 | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_de_apertura para entidad node
field_fecha_de_cierre               | node                 | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_de_cierre para entidad node
field_fecha_del_evento              | node                 | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_del_evento para entidad node
field_fecha_fin                     | node                 | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_fin para entidad node
field_fecha_inicio                  | node                 | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_inicio para entidad node
field_image                         | node                 | image              | Card: 1  | HabeasData: NO  | Campo field_image para entidad node
field_imagen_destacada              | node                 | image              | Card: 1  | HabeasData: NO  | Campo field_imagen_destacada para entidad node
field_imagen_principal              | node                 | image              | Card: 1  | HabeasData: NO  | Campo field_imagen_principal para entidad node
field_lugar_del_evento              | node                 | string             | Card: 1  | HabeasData: NO  | Campo field_lugar_del_evento para entidad node
field_modalidad_del_curso           | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_modalidad_del_curso para entidad node
field_necesidad_descripcion_deta    | node                 | text_long          | Card: 1  | HabeasData: NO  | Campo field_necesidad_descripcion_deta para entidad node
field_organizadores_del_evento      | node                 | string_long        | Card: 1  | HabeasData: NO  | Campo field_organizadores_del_evento para entidad node
field_palabras_clave                | node                 | string             | Card: -1 | HabeasData: NO  | Campo field_palabras_clave para entidad node
field_proponentes                   | node                 | entity_reference   | Card: -1 | HabeasData: NO  | Campo field_proponentes para entidad node
field_publico_objetivo              | node                 | string_long        | Card: 1  | HabeasData: NO  | Campo field_publico_objetivo para entidad node
field_sector_economico_asociado     | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_sector_economico_asociado para entidad node
field_sector_relacionado            | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_sector_relacionado para entidad node
field_tags                          | node                 | entity_reference   | Card: -1 | HabeasData: NO  | Campo field_tags para entidad node
field_tecnologia_relacionada        | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tecnologia_relacionada para entidad node
field_tipo_de_convocatoria          | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tipo_de_convocatoria para entidad node
field_tipo_de_necesidad             | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tipo_de_necesidad para entidad node
field_tipos_de_evento               | node                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tipos_de_evento para entidad node
field_ubicacion_geografica          | node                 | string             | Card: 1  | HabeasData: NO  | Campo field_ubicacion_geografica para entidad node
field_calificacion_de_solucion_a    | paragraph            | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_calificacion_de_solucion_a para entidad paragraph
field_cargo                         | paragraph            | string             | Card: 1  | HabeasData: NO  | Campo field_cargo para entidad paragraph
field_criterio_evaluacion_reto      | paragraph            | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_criterio_evaluacion_reto para entidad paragraph
field_descripcion_funciones         | paragraph            | string_long        | Card: 1  | HabeasData: NO  | Campo field_descripcion_funciones para entidad paragraph
field_fecha_fin_formacion           | paragraph            | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_fin_formacion para entidad paragraph
field_fecha_fin_trayetoria          | paragraph            | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_fin_trayetoria para entidad paragraph
field_fecha_inicio_formacion        | paragraph            | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_inicio_formacion para entidad paragraph
field_fecha_inicio_trayectoria      | paragraph            | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_inicio_trayectoria para entidad paragraph
field_nombre_empresa                | paragraph            | string             | Card: 1  | HabeasData: SÍ  | Campo field_nombre_empresa para entidad paragraph
field_nombre_institucion            | paragraph            | string             | Card: 1  | HabeasData: SÍ  | Campo field_nombre_institucion para entidad paragraph
field_paragraph_miembros_iap        | paragraph            | entity_reference   | Card: -1 | HabeasData: NO  | Campo field_paragraph_miembros_iap para entidad paragraph
field_prueba                        | paragraph            | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_prueba para entidad paragraph
field_prueba_otro_paragraph         | paragraph            | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_prueba_otro_paragraph para entidad paragraph
field_tipo_de_formacion             | paragraph            | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tipo_de_formacion para entidad paragraph
field_titulo_obtenido               | paragraph            | string             | Card: 1  | HabeasData: NO  | Campo field_titulo_obtenido para entidad paragraph
field_actor                         | user                 | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_actor para entidad user
user_picture                        | user                 | image              | Card: 1  | HabeasData: NO  | Campo user_picture para entidad user
field_actor_del_cual_dep2nde        | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_actor_del_cual_dep2nde para entidad zinco_actors_zincoactors
field_actor_del_cual_depende        | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_actor_del_cual_depende para entidad zinco_actors_zincoactors
field_afiliacion_actual             | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: NO  | Campo field_afiliacion_actual para entidad zinco_actors_zincoactors
