=== HISTORIAL COMPLETO DE CONTROL DE VERSIONES (98 COMMITS) ===

HASH     | FECHA Y HORA              | AUTOR                     | MENSAJE DE CONFIRMACIÓN
----------------------------------------------------------------------------------------------------
0ac18a2 | 2026-02-24 02:14:42 -0500 | Camilo Cervantes | ajuste bug exportar datos
1feb485 | 2026-02-24 02:04:14 -0500 | Camilo Cervantes | ajuste bug exportar datos
148387c | 2026-02-24 01:56:26 -0500 | Camilo Cervantes | ajuste bug exportar datos
0c1d688 | 2026-02-24 01:50:10 -0500 | Camilo Cervantes | ajuste categorias de actores en buscador logos
7044bc1 | 2026-02-24 01:45:11 -0500 | Camilo Cervantes | ajuste registro de actor
1bf4b10 | 2026-02-24 01:36:36 -0500 | Camilo Cervantes | ajuste registro de actor
e664f49 | 2026-02-24 01:14:53 -0500 | Camilo Cervantes | ajuste listado de categorias de actores
014a564 | 2026-02-24 00:09:29 -0500 | Camilo Cervantes | ajuste forms
0162459 | 2026-02-23 23:57:30 -0500 | Camilo Cervantes | ajuste oportunidades
aec2895 | 2026-02-23 23:56:00 -0500 | Camilo Cervantes | ajuste oportunidades
073260c | 2026-02-23 23:55:02 -0500 | Camilo Cervantes | ajuste oportunidades
c8ee12e | 2026-02-23 23:52:20 -0500 | Camilo Cervantes | ajuste oportunidades
fcb4054 | 2026-02-23 23:04:03 -0500 | Camilo Cervantes | ajustes landing
6084cf9 | 2026-01-13 08:22:42 -0500 | Camilo Cervantes Salazar | ajuste dashboard
4605c7f | 2026-01-13 08:17:10 -0500 | Camilo Cervantes Salazar | ajuste cajas dashboard igual altura
caf4dec | 2026-01-13 08:01:51 -0500 | Camilo Cervantes Salazar | ajuste descripcion actores
99e6ed4 | 2025-12-19 10:00:16 -0500 | Camilo Cervantes Salazar | ajustes landing
00b61e4 | 2025-12-18 10:54:28 -0500 | Camilo Cervantes Salazar | ajuste cache context
51b4289 | 2025-12-18 00:16:01 -0500 | Camilo Cervantes Salazar | ajustes landing
5fb4678 | 2025-12-17 21:21:15 -0500 | Camilo Cervantes Salazar | ajustes ayudas bundles
1c2e5ef | 2025-12-17 17:01:39 -0500 | Camilo Cervantes Salazar | devel
9b53302 | 2025-12-17 16:33:19 -0500 | Camilo Cervantes Salazar | ajustes iconos categorias actores
76a6932 | 2025-12-17 11:41:30 -0500 | Camilo Cervantes Salazar | flujo de usuarios actores registrados
76babfe | 2025-12-17 07:18:52 -0500 | Camilo Cervantes Salazar | ajustes exportacion csv
1ef5030 | 2025-12-16 09:07:29 -0500 | Camilo Cervantes Salazar | ajuste dashboard
1b4d7a5 | 2025-12-16 08:49:50 -0500 | Camilo Cervantes Salazar | ajustes dashboard
d08d1a0 | 2025-12-15 22:58:13 -0500 | Camilo Cervantes Salazar | ajustes views dashboard
3cf44c0 | 2025-12-12 14:00:19 -0500 | Camilo Cervantes Salazar | ajuste actores por municipio
5ba4785 | 2025-12-12 06:44:59 -0500 | Camilo Cervantes Salazar | ajustes de estilo y pestaña actores zinco
bede149 | 2025-12-10 09:01:06 -0500 | Camilo Cervantes Salazar | ajuste color verde
767f132 | 2025-12-09 19:38:44 -0500 | Camilo Cervantes Salazar | ajustes de estilo zinco
bf604c7 | 2025-12-09 09:02:19 -0500 | Camilo Cervantes Salazar | ajuste dashboard
ca7f6b9 | 2025-12-09 08:45:46 -0500 | Camilo Cervantes Salazar | ajuste numero universidades
4af5c3d | 2025-12-09 07:26:19 -0500 | Camilo Cervantes Salazar | ajuste dashboard
6b72201 | 2025-12-09 06:28:02 -0500 | Camilo Cervantes Salazar | ajuste detalle dashboard
3c42180 | 2025-12-05 12:13:42 -0500 | Camilo Cervantes Salazar | ajuste de estilo
6b552c5 | 2025-12-05 11:53:55 -0500 | Camilo Cervantes Salazar | ajustes de colores y vistas
1117105 | 2025-12-04 04:03:10 -0500 | Camilo Cervantes Salazar | ajustes categorias de actores
5848e80 | 2025-12-04 01:22:23 -0500 | Camilo Cervantes Salazar | ajustes quienes somos
69039e6 | 2025-12-04 00:42:24 -0500 | Camilo Cervantes Salazar | ajustes landing page
36c8c4c | 2025-12-03 12:23:37 -0500 | Camilo Cervantes Salazar | ajustes de estilo
6c1795b | 2025-12-02 15:25:49 -0500 | Camilo Cervantes Salazar | colors
b73d4ab | 2025-12-02 09:37:28 -0500 | Camilo Cervantes Salazar | agregando tab de zinco actores
8ea119a | 2025-12-01 11:12:10 -0500 | Camilo Cervantes Salazar | ajustes dashboard actores
f98cfd1 | 2025-12-01 11:10:53 -0500 | Camilo Cervantes Salazar | ajuste de dashboard
c7e30a6 | 2025-11-28 16:53:17 -0500 | Camilo Cervantes Salazar | ajustes nueva data
2c95a34 | 2025-11-14 10:34:47 -0500 | Camilo Cervantes Salazar | modulo administrativo de zinco
7274df9 | 2025-11-11 22:27:51 -0500 | Camilo Cervantes Salazar | ajustes de calificar solucion a reto
32b99b4 | 2025-11-11 14:09:25 -0500 | Camilo Cervantes Salazar | ajustes de retos, pie de pagina en pdf, registro de actores, entre otros
f8a8913 | 2025-11-09 14:59:44 -0500 | Camilo Cervantes Salazar | perfiles de actores
ee30a6d | 2025-11-09 06:50:41 -0500 | Camilo Cervantes Salazar | ajustes en retos y perfiles de actores
ef65fd9 | 2025-11-07 14:12:32 -0500 | Camilo Cervantes Salazar | ajustes en retos
fdc0663 | 2025-11-07 13:38:03 -0500 | Camilo Cervantes Salazar | ajustes listado de retos
b698144 | 2025-11-07 08:39:17 -0500 | Camilo Cervantes Salazar | ajuste retos
0dc2032 | 2025-11-04 14:39:55 -0500 | Camilo Cervantes Salazar | listado de actores
b14d15c | 2025-10-31 10:05:03 -0500 | Camilo Cervantes Salazar | ajuste promises dashboard
34382b0 | 2025-10-24 12:28:35 -0500 | Camilo Cervantes Salazar | pruebas endpoint generador de reporte pdf
c353e74 | 2025-10-21 11:13:45 -0500 | Camilo Cervantes Salazar | ajustes dashboard
9ca1ba6 | 2025-10-21 10:55:09 -0500 | Camilo Cervantes Salazar | ajustes generacion de pdf
0c921c1 | 2025-10-14 16:02:21 -0500 | Camilo Cervantes Salazar | ajustes dashboard
89050e9 | 2025-10-07 09:54:18 -0500 | Camilo Cervantes Salazar | ajustes dashboard
468b78f | 2025-10-06 16:07:20 -0500 | Camilo Cervantes Salazar | ajuste en info yml
8e6bd16 | 2025-10-06 16:05:44 -0500 | Camilo Cervantes Salazar | ajustes dashboard
5105e98 | 2025-10-06 16:04:45 -0500 | Camilo Cervantes Salazar | ajustes dashboard
47fe09f | 2025-09-30 08:41:36 -0500 | Camilo Cervantes Salazar | ajustes cards retos
12e7f90 | 2025-09-26 12:14:33 -0500 | Camilo Cervantes Salazar | ajuste card programas por municipios
9475b61 | 2025-09-25 17:22:53 -0500 | Camilo Cervantes Salazar | card programas ofertados
64d0d81 | 2025-09-25 17:17:26 -0500 | Camilo Cervantes Salazar | card universidades
85cd50e | 2025-09-25 15:58:34 -0500 | Camilo Cervantes Salazar | card de investigadores
cff2d59 | 2025-09-25 11:49:00 -0500 | Camilo Cervantes Salazar | ajustes data dashboard
370d51f | 2025-09-22 10:13:43 -0500 | Camilo Cervantes Salazar | ajuste valor grupo de investigacion en dashboard
bb8a932 | 2025-09-22 09:36:22 -0500 | Camilo Cervantes Salazar | ajustes dashboard y config
45ebe8a | 2025-09-17 15:41:30 -0500 | Camilo Cervantes Salazar | ajuste gitignore
ac29a98 | 2025-09-17 15:34:58 -0500 | Camilo Cervantes Salazar | theme files
8661ef9 | 2025-09-17 15:34:45 -0500 | Camilo Cervantes Salazar | theme files
fbe2bea | 2025-09-17 10:20:43 -0500 | Camilo Cervantes Salazar | txt
efc9780 | 2025-09-17 10:19:46 -0500 | Camilo Cervantes Salazar | txt
84b5ddc | 2025-09-17 10:04:11 -0500 | Camilo Cervantes Salazar | ajuste bd
e4b939b | 2025-09-17 10:02:44 -0500 | Camilo Cervantes Salazar | ignore bd
30fe365 | 2025-09-17 09:59:27 -0500 | Camilo Cervantes Salazar | bd
ed5c3e4 | 2025-09-17 09:58:52 -0500 | Camilo Cervantes Salazar | bd
0366fa6 | 2025-09-17 09:34:25 -0500 | Camilo Cervantes Salazar | ocultar exports bd
8411be0 | 2025-09-17 09:34:10 -0500 | Camilo Cervantes Salazar | ajustes bd
