=== CATALOGO DE DEPENDENCIAS Y LICENCIAS DE TERCEROS ===
Proyecto: Plataforma Zinco (Ecosistema CTeI UNICOR)
Fecha de generación: 2026-09-09 11:00 COT
Fuente: composer.lock (HEAD 0ac18a2238232be53c2564b4a12ba6d12ffea9cd)
Total de componentes de producción en composer.lock: 113

No.  | Paquete / Componente                | Versión      | Licencia             | Descripción                                       
----------------------------------------------------------------------------------------------------------------------------------
1    | asm89/stack-cors                    | v2.3.0       | MIT                  | Cross-origin resource sharing library and stack   
2    | chi-teck/drupal-code-generator      | 4.2.0        | GPL-2.0-or-later     | Drupal code generator                             
3    | composer/installers                 | v2.3.0       | MIT                  | A multi-framework Composer library installer      
4    | composer/semver                     | 3.4.4        | MIT                  | Semver library that offers utilities, version co  
5    | consolidation/annotated-command     | 4.10.4       | MIT                  | Initialize Symfony Console commands from annotat  
6    | consolidation/config                | 3.2.0        | MIT                  | Provide configuration services for a commandline  
7    | consolidation/filter-via-dot-access-data | 2.0.3        | MIT                  | This project uses dflydev/dot-access-data to pro  
8    | consolidation/log                   | 3.1.1        | MIT                  | Improved Psr-3 / Psr\Log logger based on Symfony  
9    | consolidation/output-formatters     | 4.7.0        | MIT                  | Format text by applying transformations provided  
10   | consolidation/robo                  | 5.1.1        | MIT                  | Modern task runner                                
11   | consolidation/site-alias            | 4.1.2        | MIT                  | Manage alias records for local and remote sites.  
12   | consolidation/site-process          | 5.4.2        | MIT                  | A thin wrapper around the Symfony Process Compon  
13   | dflydev/dot-access-data             | v3.0.3       | MIT                  | Given a deep data structure, access data by dot   
14   | doctrine/common                     | 3.5.0        | MIT                  | PHP Doctrine Common project is a library that pr  
15   | doctrine/event-manager              | 2.1.1        | MIT                  | The Doctrine Event Manager is a simple PHP event  
16   | doctrine/lexer                      | 3.0.1        | MIT                  | PHP Doctrine Lexer parser library that can be us  
17   | doctrine/persistence                | 4.1.1        | MIT                  | The Doctrine Persistence project is a set of sha  
18   | dompdf/dompdf                       | v3.1.4       | LGPL-2.1             | DOMPDF is a CSS 2.1 compliant HTML to PDF conver  
19   | dompdf/php-font-lib                 | 1.0.2        | LGPL-2.1-or-later    | A library to read, parse, export and make subset  
20   | dompdf/php-svg-lib                  | 1.0.2        | LGPL-3.0-or-later    | A library to read, parse and export to PDF SVG f  
21   | drupal/better_exposed_filters       | 7.1.1        | GPL-2.0-or-later     | Replaces the Views default single- or multi-sele  
22   | drupal/bootstrap_barrio             | 5.5.20       | GPL-2.0-or-later     | Bootstrap 5 base theme.                           
23   | drupal/core                         | 11.3.3       | GPL-2.0-or-later     | Drupal is an open source content management plat  
24   | drupal/core-composer-scaffold       | 11.3.3       | GPL-2.0-or-later     | A flexible Composer project scaffold builder.     
25   | drupal/core-project-message         | 11.3.3       | GPL-2.0-or-later     | Adds a message after Composer installation.       
26   | drupal/core-recipe-unpack           | 11.3.3       | GPL-2.0-or-later     | A Composer project unpacker for Drupal recipes.   
27   | drupal/core-recommended             | 11.3.3       | GPL-2.0-or-later     | Core and its dependencies with known-compatible   
28   | drupal/csv_serialization            | 4.0.1        | GPL-2.0-or-later     | Provides CSV as a serialization format.           
29   | drupal/devel                        | 5.5.0        | GPL-2.0-or-later     | Various blocks, pages, and functions for develop  
30   | drupal/devel_entity_updates         | 5.0.0        | GPL-2.0+             | Provides developers an API and drush command to   
31   | drupal/entity_print                 | 2.18.0       | GPL-2.0+             | PDF print solution for any Drupal entity.         
32   | drupal/entity_reference_revisions   | 1.14.0       | GPL-2.0-or-later     | Entity Reference Revisions                        
33   | drupal/jquery_ui                    | 1.8.0        | GPL-2.0-or-later     | Provides jQuery UI library.                       
34   | drupal/login_redirect_per_role      | 1.11.0       | GPL-2.0-or-later     | Provides ability to redirect user on Log in and   
35   | drupal/mailsystem                   | 4.5.0        | GPL-2.0-or-later     | Mail System                                       
36   | drupal/mimemail                     | 2.0.1        | GPL-2.0-or-later     | Sends MIME-encoded emails with embedded images a  
37   | drupal/nouislider_js                | 15.8.1       | MIT License          | Mirror of the noUiSlider javascript library tagg  
38   | drupal/paragraphs                   | 1.20.0       | GPL-2.0-or-later     | Enables the creation of Paragraphs entities.      
39   | drupal/registration_role            | 2.0.2        | GPL-2.0-or-later     | Automatically assign a role to all new users who  
40   | drupal/smtp                         | 1.4.0        | GPL-2.0-or-later     | Allow for site emails to be sent through an SMTP  
41   | drupal/taxonomy_import              | 2.1.1        | GPL-2.0+             | A module to import taxonomy using CSV or XML fil  
42   | drupal/taxonomy_manager             | 2.0.23       | GPL-2.0-or-later     | Tool for administrating taxonomy terms            
43   | drupal/views_data_export            | 1.8.0        | GPL-2.0-or-later     | Plugin to export views data into various file fo  
44   | drush/drush                         | 13.7.1       | GPL-2.0-or-later     | Drush is a command line shell and scripting inte  
45   | egulias/email-validator             | 4.0.4        | MIT                  | A library for validating emails against several   
46   | grasmash/expander                   | 3.0.1        | MIT                  | Expands internal property references in PHP arra  
47   | grasmash/yaml-cli                   | 3.2.1        | MIT                  | A command line tool for reading and manipulating  
48   | guzzlehttp/guzzle                   | 7.10.0       | MIT                  | Guzzle is a PHP HTTP client library               
49   | guzzlehttp/promises                 | 2.3.0        | MIT                  | Guzzle promises library                           
50   | guzzlehttp/psr7                     | 2.8.0        | MIT                  | PSR-7 message implementation that also provides   
51   | laravel/prompts                     | v0.3.13      | MIT                  | Add beautiful and user-friendly forms to your co  
52   | league/container                    | 4.2.5        | MIT                  | A fast and intuitive dependency injection contai  
53   | league/csv                          | 9.28.0       | MIT                  | CSV data manipulation made easy in PHP            
54   | masterminds/html5                   | 2.10.0       | MIT                  | An HTML5 parser and serializer.                   
55   | mck89/peast                         | v1.17.4      | BSD-3-Clause         | Peast is PHP library that generates AST for Java  
56   | nikic/php-parser                    | v5.7.0       | BSD-3-Clause         | A PHP parser written in PHP                       
57   | pear/archive_tar                    | 1.6.0        | BSD-2-Clause         | Tar file management class with compression suppo  
58   | pear/console_getopt                 | v1.4.3       | BSD-2-Clause         | More info available on: http://pear.php.net/pack  
59   | pear/pear-core-minimal              | v1.10.18     | BSD-3-Clause         | Minimal set of PEAR core files to be used as com  
60   | pear/pear_exception                 | v1.0.2       | BSD-2-Clause         | The PEAR Exception base class.                    
61   | phootwork/collection                | v3.2.3       | MIT                  | The phootwork library fills gaps in the php lang  
62   | phootwork/lang                      | v3.2.3       | MIT                  | Missing PHP language constructs                   
63   | php-tuf/composer-stager             | v2.0.2       | MIT                  | Stages Composer commands so they can be safely r  
64   | phpmailer/phpmailer                 | v6.12.0      | LGPL-2.1-only        | PHPMailer is a full-featured email creation and   
65   | phpowermove/docblock                | v4.0         | MIT                  | PHP Docblock parser and generator. An API to rea  
66   | psr/cache                           | 3.0.0        | MIT                  | Common interface for caching libraries            
67   | psr/container                       | 2.0.2        | MIT                  | Common Container Interface (PHP FIG PSR-11)       
68   | psr/event-dispatcher                | 1.0.0        | MIT                  | Standard interfaces for event handling.           
69   | psr/http-client                     | 1.0.3        | MIT                  | Common interface for HTTP clients                 
70   | psr/http-factory                    | 1.1.0        | MIT                  | PSR-17: Common interfaces for PSR-7 HTTP message  
71   | psr/http-message                    | 2.0          | MIT                  | Common interface for HTTP messages                
72   | psr/log                             | 3.0.2        | MIT                  | Common interface for logging libraries            
73   | psy/psysh                           | v0.12.20     | MIT                  | An interactive shell for modern PHP.              
74   | ralouphie/getallheaders             | 3.0.3        | MIT                  | A polyfill for getallheaders.                     
75   | revolt/event-loop                   | v1.0.8       | MIT                  | Rock-solid event loop for concurrent PHP applica  
76   | sabberworm/php-css-parser           | v9.2.0       | MIT                  | Parser for CSS Files written in PHP               
77   | sebastian/diff                      | 6.0.2        | BSD-3-Clause         | Diff implementation                               
78   | symfony/console                     | v7.4.6       | MIT                  | Eases the creation of beautiful and testable com  
