=== MATRIZ DE TRAZABILIDAD EXTREMO A EXTREMO (115 REQUISITOS / 12 MÓDULOS) ===
Proyecto: Plataforma Zinco (Ecosistema CTeI UNICOR)
Documento Fuente: reporte_requerimientos.pdf (Prototipo v1.0)
Fecha de corte: 2026-09-09

ID          | Descripción Funcional                              | CU     | Módulo Drupal    | Prueba         | Estado      
-----------------------------------------------------------------------------------------------------------------------------
RF-01.1     | Visualización de Dashboard Centralizado con KPIs   | CU-01  | zinco_dashboards | CP-FUNC-01.1   | Implementado
RF-01.2.1   | Filtrado y Segmentación por Municipio de Córdoba   | CU-01  | zinco_dashboards | CP-FUNC-01.2   | Implementado
RF-01.2.2   | Filtrado y Segmentación por Sector Económico       | CU-01  | zinco_dashboards | CP-FUNC-01.3   | Implementado
RF-01.2.3   | Filtrado y Segmentación por Tecnología 4.0         | CU-01  | zinco_dashboards | CP-FUNC-01.4   | Implementado
RF-01.3.1   | Detalle de Indicadores: Actores de Innovación      | CU-01  | zinco_dashboards | CP-FUNC-01.5   | Implementado
RF-01.3.2   | Detalle de Indicadores: Formación Científica y T   | CU-01  | zinco_dashboards | CP-FUNC-01.6   | Implementado
RF-01.3.3   | Detalle de Indicadores: Proyectos CTI en Ejecuci   | CU-01  | zinco_dashboards | CP-FUNC-01.7   | Implementado
RF-01.3.4   | Detalle de Indicadores: Retos de Innovación Abie   | CU-01  | zinco_dashboards | CP-FUNC-01.8   | Implementado
RF-01.3.5   | Detalle de Indicadores: Protección Intelectual y   | CU-01  | zinco_dashboards | CP-FUNC-01.9   | Implementado
RF-01.3.6   | Detalle de Indicadores: Desarrollo Tecnológico e   | CU-01  | zinco_dashboards | CP-FUNC-01.10  | Implementado
RF-01.3.7   | Detalle de Indicadores: Generación de Conocimien   | CU-01  | zinco_dashboards | CP-FUNC-01.11  | Implementado
RF-02.1     | Generación de Informes Personalizados y Reportes   | CU-02  | zinco_reportes   | CP-FUNC-02.1   | Implementado
RF-02.2     | Exportación de Datos en Múltiples Formatos (PDF,   | CU-02  | zinco_front      | CP-FUNC-02.2   | Implementado
RF-03.1     | Gestión y Catalogación de Actores de Conocimient   | CU-03  | zinco_usuarios   | CP-FUNC-03.1   | Implementado
RF-03.2     | Gestión y Registro de Proyectos de I+D+i           | CU-03  | zinco_proyectos  | CP-FUNC-03.2   | Implementado
RF-03.3     | Proceso ETL Automatizado desde CvLAC y GrupLAC M   | CU-03  | gruplac_scraper  | CP-FUNC-03.3   | Implementado
RF-03.4     | Proceso ETL de Ingesta desde Archivos Planos y C   | CU-03  | zinco_migracion  | CP-FUNC-03.4   | Implementado
RF-04.1     | Gestión Integral del Banco de Retos de Innovació   | CU-04  | zinco_retos      | CP-FUNC-04.1   | Implementado
RF-04.2     | Envío y Postulación Simplificada de Retos por Em   | CU-04  | zinco_retos      | CP-FUNC-04.2   | Implementado
RF-04.3     | Gestión de Soluciones, Evaluación y Calificación   | CU-04  | zinco_retos      | CP-FUNC-04.3   | Implementado
RF-05.1     | Visualización de Perfiles de Actores CTI de la Q   | CU-05  | zinco_usuarios   | CP-FUNC-05.1   | Implementado
RF-05.2.1   | Perfil de Actores: Gobierno y Entidades Públicas   | CU-05  | zinco_usuarios   | CP-FUNC-05.2   | Implementado
RF-05.2.2   | Perfil de Actores: Generadores de Conocimiento (   | CU-05  | zinco_grupos     | CP-FUNC-05.3   | Implementado
RF-05.2.3   | Perfil de Actores: Explotadores del Conocimiento   | CU-05  | zinco_usuarios   | CP-FUNC-05.4   | Implementado
RF-05.2.4   | Perfil de Actores: Organizaciones Intermediarias   | CU-05  | zinco_redes      | CP-FUNC-05.5   | Implementado
RF-05.2.5   | Perfil de Actores: Agentes Financiadores y Fondo   | CU-05  | zinco_usuarios   | CP-FUNC-05.6   | Implementado
RF-06.1     | Gestión de Contenidos Dinámicos: Módulo de Notic   | CU-06  | zinco_core       | CP-FUNC-06.1   | Implementado
RF-06.2     | Gestión de Contenidos Dinámicos: Agenda y Calend   | CU-06  | zinco_core       | CP-FUNC-06.2   | Implementado
